Area Code (M49),Item Code (CPC),Year,Production,Prod_Predicted,Predicted_Production,Area,Item
56,111.0,2001,1457400.0,0.0,,Belgium,Wheat
56,111.0,2002,1675000.0,0.0,,Belgium,Wheat
56,111.0,2003,1640364.0,0.0,,Belgium,Wheat
56,111.0,2004,1913177.0,0.0,,Belgium,Wheat
56,111.0,2005,1768410.0,0.0,,Belgium,Wheat
56,111.0,2006,1661958.0,0.0,,Belgium,Wheat
56,111.0,2007,1577342.0,0.0,,Belgium,Wheat
56,111.0,2008,1850406.0,0.0,,Belgium,Wheat
56,111.0,2009,1909768.0,0.0,,Belgium,Wheat
56,111.0,2010,1849584.0,0.0,,Belgium,Wheat
56,111.0,2011,1687749.0,0.0,,Belgium,Wheat
56,111.0,2012,1834624.0,0.0,,Belgium,Wheat
56,111.0,2013,1803550.0,0.0,,Belgium,Wheat
56,111.0,2014,1994600.0,0.0,,Belgium,Wheat
56,111.0,2015,2019347.0,0.0,,Belgium,Wheat
56,111.0,2016,1400074.0,0.0,,Belgium,Wheat
56,111.0,2017,1702721.0,0.0,,Belgium,Wheat
56,111.0,2018,1661860.0,0.0,,Belgium,Wheat
56,111.0,2019,1902380.0,0.0,,Belgium,Wheat
56,111.0,2020,1741480.0,,1819526.0,Belgium,Wheat
56,111.0,2021,1629180.0,,1827102.0,Belgium,Wheat
56,111.0,2022,1851870.0,,1853443.0,Belgium,Wheat
56,115.0,2001,368700.0,0.0,,Belgium,Barley
56,115.0,2002,342700.0,0.0,,Belgium,Barley
56,115.0,2003,270857.0,0.0,,Belgium,Barley
56,115.0,2004,304777.0,0.0,,Belgium,Barley
56,115.0,2005,301647.0,0.0,,Belgium,Barley
56,115.0,2006,367348.0,0.0,,Belgium,Barley
56,115.0,2007,374454.0,0.0,,Belgium,Barley
56,115.0,2008,328768.0,0.0,,Belgium,Barley
56,115.0,2009,452528.0,0.0,,Belgium,Barley
56,115.0,2010,373400.0,0.0,,Belgium,Barley
56,115.0,2011,339658.0,0.0,,Belgium,Barley
56,115.0,2012,359100.0,0.0,,Belgium,Barley
56,115.0,2013,385614.0,0.0,,Belgium,Barley
56,115.0,2014,399970.0,0.0,,Belgium,Barley
56,115.0,2015,434140.0,0.0,,Belgium,Barley
56,115.0,2016,345559.0,0.0,,Belgium,Barley
56,115.0,2017,381128.0,0.0,,Belgium,Barley
56,115.0,2018,324120.0,0.0,,Belgium,Barley
56,115.0,2019,401060.0,0.0,,Belgium,Barley
56,115.0,2020,329470.0,,344252.0,Belgium,Barley
56,115.0,2021,300070.0,,284295.0,Belgium,Barley
56,115.0,2022,373000.0,,316874.0,Belgium,Barley
372,111.0,2001,769200.0,0.0,,Ireland,Wheat
372,111.0,2002,867200.0,0.0,,Ireland,Wheat
372,111.0,2003,794100.0,0.0,,Ireland,Wheat
372,111.0,2004,1019200.0,0.0,,Ireland,Wheat
372,111.0,2005,802700.0,0.0,,Ireland,Wheat
372,111.0,2006,801000.0,0.0,,Ireland,Wheat
372,111.0,2007,713400.0,0.0,,Ireland,Wheat
372,111.0,2008,992800.0,0.0,,Ireland,Wheat
372,111.0,2009,690100.0,0.0,,Ireland,Wheat
372,111.0,2010,669200.0,0.0,,Ireland,Wheat
372,111.0,2011,929200.0,0.0,,Ireland,Wheat
372,111.0,2012,707900.0,0.0,,Ireland,Wheat
372,111.0,2013,545300.0,0.0,,Ireland,Wheat
372,111.0,2014,717000.0,0.0,,Ireland,Wheat
372,111.0,2015,696600.0,0.0,,Ireland,Wheat
372,111.0,2016,647700.0,0.0,,Ireland,Wheat
372,111.0,2017,681679.0,0.0,,Ireland,Wheat
372,111.0,2018,485480.0,0.0,,Ireland,Wheat
372,111.0,2019,595360.0,0.0,,Ireland,Wheat
372,111.0,2020,364920.0,,537385.0,Ireland,Wheat
372,111.0,2021,628080.0,,587832.0,Ireland,Wheat
372,111.0,2022,701240.0,,571211.0,Ireland,Wheat
372,115.0,2001,1277200.0,0.0,,Ireland,Barley
372,115.0,2002,962800.0,0.0,,Ireland,Barley
372,115.0,2003,1197700.0,0.0,,Ireland,Barley
372,115.0,2004,1326600.0,0.0,,Ireland,Barley
372,115.0,2005,1024400.0,0.0,,Ireland,Barley
372,115.0,2006,1136900.0,0.0,,Ireland,Barley
372,115.0,2007,1124500.0,0.0,,Ireland,Barley
372,115.0,2008,1294100.0,0.0,,Ireland,Barley
372,115.0,2009,1227300.0,0.0,,Ireland,Barley
372,115.0,2010,1223100.0,0.0,,Ireland,Barley
372,115.0,2011,1412000.0,0.0,,Ireland,Barley
372,115.0,2012,1260700.0,0.0,,Ireland,Barley
372,115.0,2013,1662800.0,0.0,,Ireland,Barley
372,115.0,2014,1731200.0,0.0,,Ireland,Barley
372,115.0,2015,1739200.0,0.0,,Ireland,Barley
372,115.0,2016,1479900.0,0.0,,Ireland,Barley
372,115.0,2017,1505811.0,0.0,,Ireland,Barley
372,115.0,2018,1181560.0,0.0,,Ireland,Barley
372,115.0,2019,1479600.0,0.0,,Ireland,Barley
372,115.0,2020,1347460.0,,1423977.0,Ireland,Barley
372,115.0,2021,1506410.0,,1571249.0,Ireland,Barley
372,115.0,2022,1549860.0,,1449947.0,Ireland,Barley
